PIB File Number,Date Occurred,Originating Bureau,Division level,Division,Unit,Working Status,Shift,Investigation status,Disposition,Service Type,Light Condition,Weather Condition,Use of Force Type,Use of Force Level,Subject Influencing Factors,Use of Force Effective,Officer Race/Ethnicity,Officer Gender,Officer Age,Officer Years of Service,Distance Between,Subject Gender,Subject Ethnicity,Subject Age,Subject Build,Subject Height,Subject Injured,Subject Hospitalized,Subject Arrested,Subject Arrest Charges,Use of Force Reason,Officer Injured
FTN2016-0135,3/6/2016,FOB - Field Operations Bureau,7th District,Evening Watch,,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Force (Take Down),L2,None detected,Yes,White,Male,32,0,11 feet to 14 feet,Male,Black,26,Medium,,No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0135,3/6/2016,FOB - Field Operations Bureau,7th District,Evening Watch,,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,None detected,Yes,Race-Unknown,Male,28,0,11 feet to 14 feet,Male,Black,26,Medium,,No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0080,2/8/2016,FOB - Field Operations Bureau,5th District,A Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Hands,L1,Unknown,Yes,Black,Male,47,0,7 feet to 10 feet,Male,Black,25,Small,5'7'' to 5'9'',No,No,No,,refuse verbal commands,No
FTN2016-0080,2/8/2016,FOB - Field Operations Bureau,5th District,A Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Force (Take Down),L2,Unknown,Yes,Black,Male,54,0,7 feet to 10 feet,Male,Black,25,Small,5'7'' to 5'9'',No,No,No,,refuse verbal commands,No
FTN2016-0080,2/8/2016,FOB - Field Operations Bureau,5th District,A Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Hands,L1,Unknown,Yes,Black,Male,38,0,7 feet to 10 feet,Male,Black,25,Small,5'7'' to 5'9'',No,No,No,,refuse verbal commands,No
FTN2016-0118,2/29/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,Black,Male,36,0,1 feet to 3 feet,Male,Black,39,Medium,5'10'' to 6'0'',No,No,Yes,,Other,No
FTN2016-0118,2/29/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,Black,Male,42,0,1 feet to 3 feet,Male,Black,39,Medium,5'10'' to 6'0'',No,No,Yes,,Other,No
FTN2018-0081,3/3/2018,FOB - Field Operations Bureau,4th District,3rd Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,CEW Exhibited/Laser,L1,Alchohol,Yes,Black,Male,54,0,4 feet to 6 feet,Male,Black,42,Medium,5'7'' to 5'9'',No,No,Yes,,Other,No
FTN2016-0118,2/29/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,Black,Male,42,0,1 feet to 3 feet,Male,Black,40,Medium,5'10'' to 6'0'',No,No,Yes,,Other,No
FTN2016-0118,2/29/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,Black,Male,36,0,1 feet to 3 feet,Male,Black,40,Medium,5'10'' to 6'0'',No,No,Yes,,Other,No
FTN2016-0118,2/29/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,Black,Male,36,0,1 feet to 3 feet,Female,Black,32,Medium,5'10'' to 6'0'',No,No,Yes,,Other,No
FTN2016-0118,2/29/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,Black,Male,42,0,1 feet to 3 feet,Female,Black,32,Medium,5'10'' to 6'0'',No,No,Yes,,Other,No
FTN2016-0118,2/29/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,Black,Male,42,0,1 feet to 3 feet,Female,Black,33,Medium,5'10'' to 6'0'',No,No,Yes,,Other,No
FTN2016-0118,2/29/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,Black,Male,36,0,1 feet to 3 feet,Female,Black,33,Medium,5'10'' to 6'0'',No,No,Yes,,Other,No
FTN2016-0130,3/8/2016,FOB - Field Operations Bureau,4th District,Unknown,Patrol,Regular Working,Unknown Shift Hours,Completed,Use Of Force Authorized,Other,Good,Clear Conditions,Force (Take Down),L2,None detected,Yes,White,Male,37,0,0 feet to 1 feet,Female,White,33,Small,< 5'0'',Yes,Yes,Yes,,refuse verbal commands,Yes
FTN2016-0136,3/7/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,V.O.W.S. Unit,,,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,Black,Male,42,0,11 feet to 14 feet,Male,Black,45,Medium,5'10'' to 6'0'',No,No,Yes,,Other,No
FTN2016-0136,3/7/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,V.O.W.S. Unit,,,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,Black,Male,39,0,11 feet to 14 feet,Male,Black,45,Medium,5'10'' to 6'0'',No,No,Yes,,Other,No
FTN2016-0136,3/7/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,V.O.W.S. Unit,,,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,Black,Male,39,0,11 feet to 14 feet,Female,Black,64,Medium,5'10'' to 6'0'',No,No,Yes,,Other,No
FTN2016-0136,3/7/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,V.O.W.S. Unit,,,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,Black,Male,42,0,11 feet to 14 feet,Female,Black,64,Medium,5'10'' to 6'0'',No,No,Yes,,Other,No
FTN2016-0134,3/6/2016,FOB - Field Operations Bureau,2nd District,A Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,White,Male,37,0,1 feet to 3 feet,Female,White,38,Medium,5'4'' to 5'6'',No,No,No,,Other,No
FTN2016-0134,3/6/2016,FOB - Field Operations Bureau,2nd District,A Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,White,Male,37,0,1 feet to 3 feet,Male,Asian,32,Medium,5'4'' to 5'6'',No,No,No,,Other,No
FTN2016-0134,3/6/2016,FOB - Field Operations Bureau,2nd District,A Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,White,Male,37,0,1 feet to 3 feet,Male,Black,60,Medium,5'4'' to 5'6'',No,No,No,,Other,No
FTN2016-0134,3/6/2016,FOB - Field Operations Bureau,2nd District,A Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,White,Male,37,0,1 feet to 3 feet,Male,Black,61,Medium,5'4'' to 5'6'',No,No,No,,Other,No
FTN2016-0140,3/10/2016,FOB - Field Operations Bureau,4th District,1st Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Other,Firearm (Exhibited),L1,Unknown,Yes,Black,Male,51,0,1 feet to 3 feet,Male,Black,27,Small,5'10'' to 6'0'',No,No,Yes,,Other,No
FTN2016-0128,3/8/2016,FOB - Field Operations Bureau,6th District,A Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,39,0,,Male,Black,35,,,No,No,No,,Other,No
FTN2016-0128,3/8/2016,FOB - Field Operations Bureau,6th District,A Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,47,0,,Male,Black,35,,,No,No,No,,Other,No
FTN2016-0141,3/10/2016,FOB - Field Operations Bureau,4th District,2nd Platoon,,,,Completed,Use Of Force Authorized,Other,Poor,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,White,Male,30,0,1 feet to 3 feet,Male,Black,37,Medium,5'4'' to 5'6'',No,No,No,,Other,No
FTN2016-0132,3/8/2016,FOB - Field Operations Bureau,3rd District,Task Force A,,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Canine (No Bite),L1,,Yes,White,Male,48,0,1 feet to 3 feet,Male,Black,18,Small,5'4'' to 5'6'',No,No,Yes,,Other,No
FTN2016-0132,3/8/2016,FOB - Field Operations Bureau,3rd District,Task Force A,,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,39,0,1 feet to 3 feet,Male,Black,18,Small,5'4'' to 5'6'',No,No,Yes,,Other,No
FTN2016-0132,3/8/2016,FOB - Field Operations Bureau,3rd District,Task Force A,,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Male,28,0,1 feet to 3 feet,Male,Black,18,Small,5'4'' to 5'6'',No,No,Yes,,Other,No
FTN2016-0132,3/8/2016,FOB - Field Operations Bureau,3rd District,Task Force A,,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Male,28,0,1 feet to 3 feet,Male,Black,18,Small,5'4'' to 5'6'',No,No,Yes,,Other,No
FTN2016-0132,3/8/2016,FOB - Field Operations Bureau,3rd District,Task Force A,,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,39,0,1 feet to 3 feet,Male,Black,18,Small,5'4'' to 5'6'',No,No,Yes,,Other,No
FTN2016-0132,3/8/2016,FOB - Field Operations Bureau,3rd District,Task Force A,,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Canine (No Bite),L1,,Yes,White,Male,48,0,1 feet to 3 feet,Male,Black,18,Small,5'4'' to 5'6'',No,No,Yes,,Other,No
FTN2016-0132,3/8/2016,FOB - Field Operations Bureau,3rd District,Task Force A,,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Canine (No Bite),L1,,Yes,White,Male,48,0,1 feet to 3 feet,Male,Black,16,Small,5'4'' to 5'6'',No,No,Yes,,Other,No
FTN2016-0132,3/8/2016,FOB - Field Operations Bureau,3rd District,Task Force A,,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,39,0,1 feet to 3 feet,Male,Black,16,Small,5'4'' to 5'6'',No,No,Yes,,Other,No
FTN2016-0132,3/8/2016,FOB - Field Operations Bureau,3rd District,Task Force A,,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Male,28,0,1 feet to 3 feet,Male,Black,16,Small,5'4'' to 5'6'',No,No,Yes,,Other,No
FTN2016-0132,3/8/2016,FOB - Field Operations Bureau,3rd District,Task Force A,,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Male,28,0,1 feet to 3 feet,Male,Black,16,Small,5'4'' to 5'6'',No,No,Yes,,Other,No
FTN2016-0132,3/8/2016,FOB - Field Operations Bureau,3rd District,Task Force A,,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,39,0,1 feet to 3 feet,Male,Black,16,Small,5'4'' to 5'6'',No,No,Yes,,Other,No
FTN2016-0132,3/8/2016,FOB - Field Operations Bureau,3rd District,Task Force A,,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Canine (No Bite),L1,,Yes,White,Male,48,0,1 feet to 3 feet,Male,Black,16,Small,5'4'' to 5'6'',No,No,Yes,,Other,No
FTN2016-0137,3/9/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,Black,Male,36,0,11 feet to 14 feet,Female,Black,17,Large,5'7'' to 5'9'',No,No,No,,Other,No
FTN2016-0050,1/25/2016,FOB - Field Operations Bureau,5th District,Task Force,Patrol,,,Completed,Use Of Force Authorized,Traffic Stop,Poor,Rainy Conditions - Light,CEW Exhibited/Laser,L1,Unknown Drugs,Yes,Black,Male,27,0,,Male,Black,29,,,No,No,Yes,,Escape,No
FTN2016-0144,3/12/2016,FOB - Field Operations Bureau,4th District,1st Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Other,Firearm (Exhibited),L1,None detected,Yes,White,Male,28,0,7 feet to 10 feet,Male,Black,35,Medium,5'10'' to 6'0'',No,No,No,,Other,No
FTN2016-0144,3/12/2016,FOB - Field Operations Bureau,4th District,1st Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Other,Firearm (Exhibited),L1,None detected,Yes,Black,Male,42,0,7 feet to 10 feet,Male,Black,35,Medium,5'10'' to 6'0'',No,No,No,,Other,No
FTN2016-0027,1/13/2016,PIB - Public Integrity Bureau,Force Investigation Team,Force Investigation Team,,,,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Canine (Bite),L4,Unknown,Yes,Black,Male,58,0,1 feet to 3 feet,Male,Black,30,Medium,5'10'' to 6'0'',Yes,Yes,Yes,,Resisting Officer w/Weapon,No
FTN2016-0027,1/13/2016,PIB - Public Integrity Bureau,Force Investigation Team,Force Investigation Team,,,,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Canine (Bite),L4,Unknown,Yes,Black,Male,58,0,1 feet to 3 feet,Male,Black,30,Medium,5'10'' to 6'0'',Yes,Yes,Yes,,Resisting Officer w/Weapon,No
FTN2016-0143,3/11/2016,FOB - Field Operations Bureau,8th District,Narcotics,,,,Completed,Use Of Force Authorized,Other,Good,Clear Conditions,Hands,L1,Unknown,Yes,White,Female,39,0,1 feet to 3 feet,Male,Black,38,Medium,5'7'' to 5'9'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0143,3/11/2016,FOB - Field Operations Bureau,8th District,Narcotics,,,,Completed,Use Of Force Authorized,Other,Good,Clear Conditions,Hands,L1,Unknown,Yes,Black,Male,33,0,1 feet to 3 feet,Male,Black,38,Medium,5'7'' to 5'9'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0143,3/11/2016,FOB - Field Operations Bureau,8th District,Narcotics,,,,Completed,Use Of Force Authorized,Other,Good,Clear Conditions,Hands,L1,Unknown,Yes,Hispanic,Male,27,0,1 feet to 3 feet,Male,Black,38,Medium,5'7'' to 5'9'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0146,3/12/2016,FOB - Field Operations Bureau,8th District,Narcotics,,,,Completed,Use Of Force Authorized,Arresting,Good,Other,Hands,L1,Unknown,Yes,Black,Male,33,0,1 feet to 3 feet,Male,Black,44,Medium,6'1'' to 6'3'',Yes,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0146,3/12/2016,FOB - Field Operations Bureau,8th District,Narcotics,,,,Completed,Use Of Force Authorized,Arresting,Good,Other,Hands,L1,Unknown,Yes,White,Female,39,0,1 feet to 3 feet,Male,Black,44,Medium,6'1'' to 6'3'',Yes,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0146,3/12/2016,FOB - Field Operations Bureau,8th District,Narcotics,,,,Completed,Use Of Force Authorized,Arresting,Good,Other,Hands,L1,Unknown,Yes,White,Female,39,0,1 feet to 3 feet,Male,Black,22,Medium,6'1'' to 6'3'',Yes,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0146,3/12/2016,FOB - Field Operations Bureau,8th District,Narcotics,,,,Completed,Use Of Force Authorized,Arresting,Good,Other,Hands,L1,Unknown,Yes,Black,Male,33,0,1 feet to 3 feet,Male,Black,22,Medium,6'1'' to 6'3'',Yes,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0151,3/16/2016,FOB - Field Operations Bureau,7th District,Day Watch,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Force (Take Down),L2,None detected,Yes,Race-Unknown,Male,28,0,1 feet to 3 feet,Male,Black,27,Medium,5'10'' to 6'0'',No,No,No,,Resisting Lawful Arrest,No
FTN2016-0151,3/16/2016,FOB - Field Operations Bureau,7th District,Day Watch,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Force (Take Down),L2,None detected,Yes,White,Male,32,0,1 feet to 3 feet,Male,Black,27,Medium,5'10'' to 6'0'',No,No,No,,Resisting Lawful Arrest,No
FTN2016-0151,3/16/2016,FOB - Field Operations Bureau,7th District,Day Watch,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Force (Take Down),L2,None detected,Yes,White,Male,32,0,1 feet to 3 feet,Male,Black,27,Medium,5'10'' to 6'0'',No,No,No,,Resisting Lawful Arrest,No
FTN2016-0151,3/16/2016,FOB - Field Operations Bureau,7th District,Day Watch,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Force (Take Down),L2,None detected,Yes,Race-Unknown,Male,28,0,1 feet to 3 feet,Male,Black,27,Medium,5'10'' to 6'0'',No,No,No,,Resisting Lawful Arrest,No
FTN2016-0142,3/11/2016,FOB - Field Operations Bureau,4th District,2nd Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Hands,L1,Unknown,Yes,White,Male,30,0,0 feet to 1 feet,Male,Black,23,Medium,5'4'' to 5'6'',No,No,Yes,,refuse verbal commands,No
FTN2016-0142,3/11/2016,FOB - Field Operations Bureau,4th District,2nd Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Hands,L1,Unknown,Yes,White,Male,26,0,0 feet to 1 feet,Male,Black,23,Medium,5'4'' to 5'6'',No,No,Yes,,refuse verbal commands,No
FTN2016-0142,3/11/2016,FOB - Field Operations Bureau,4th District,2nd Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Force (Escort Tech),L1,Unknown,Yes,White,Male,26,0,0 feet to 1 feet,Male,Black,23,Medium,5'4'' to 5'6'',No,No,Yes,,refuse verbal commands,No
FTN2016-0142,3/11/2016,FOB - Field Operations Bureau,4th District,2nd Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Force (Escort Tech),L1,Unknown,Yes,White,Male,30,0,0 feet to 1 feet,Male,Black,23,Medium,5'4'' to 5'6'',No,No,Yes,,refuse verbal commands,No
FTN2016-0157,3/17/2016,FOB - Field Operations Bureau,3rd District,B Platoon,Patrol,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,None detected,Yes,White,Male,37,0,7 feet to 10 feet,Male,Black,25,Medium,5'4'' to 5'6'',No,No,Yes,,Other,No
FTN2016-0159,3/18/2016,FOB - Field Operations Bureau,1st District,2nd Platoon,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Call for Service,Poor,Rainy Conditions - Light,Firearm (Exhibited),L1,None detected,Yes,Black,Female,29,0,7 feet to 10 feet,Male,Race-Unknown,31,Medium,5'7'' to 5'9'',No,No,No,,Other,No
FTN2016-0152,3/16/2016,FOB - Field Operations Bureau,5th District,Narcotics,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,None detected,Yes,White,Male,29,0,11 feet to 14 feet,Male,Black,24,Small,5'0'' to 5'3'',No,No,Yes,,Resisting Officer w/Weapon,No
FTN2016-0152,3/16/2016,FOB - Field Operations Bureau,5th District,Narcotics,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Force (Take Down),L2,None detected,Yes,White,Male,29,0,11 feet to 14 feet,Male,Black,24,Small,5'0'' to 5'3'',No,No,Yes,,Resisting Officer w/Weapon,No
FTN2016-0152,3/16/2016,FOB - Field Operations Bureau,5th District,Narcotics,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,None detected,Yes,Black,Male,32,0,11 feet to 14 feet,Male,Black,24,Small,5'0'' to 5'3'',No,No,Yes,,Resisting Officer w/Weapon,No
FTN2016-0160,3/20/2016,FOB - Field Operations Bureau,4th District,Task Force,A,,,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Force (Take Down),L2,Unknown,Yes,Black,Male,44,0,0 feet to 1 feet,Male,Black,21,Medium,5'10'' to 6'0'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0160,3/20/2016,FOB - Field Operations Bureau,4th District,Task Force,A,,,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Force (Take Down),L2,Unknown,Yes,White,Male,33,0,0 feet to 1 feet,Male,Black,21,Medium,5'10'' to 6'0'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0160,3/20/2016,FOB - Field Operations Bureau,4th District,Task Force,A,,,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Hands,L1,Unknown,Yes,Black,Male,42,0,0 feet to 1 feet,Male,Black,21,Medium,5'10'' to 6'0'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0160,3/20/2016,FOB - Field Operations Bureau,4th District,Task Force,A,,,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Hands,L1,Unknown,Yes,White,Male,33,0,0 feet to 1 feet,Male,Black,21,Medium,5'10'' to 6'0'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0160,3/20/2016,FOB - Field Operations Bureau,4th District,Task Force,A,,,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Hands,L1,Unknown,Yes,Black,Male,44,0,0 feet to 1 feet,Male,Black,21,Medium,5'10'' to 6'0'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2020-0293,10/3/2020,FOB - Field Operations Bureau,1st District,1st District,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Hands,L1,Mentally unstable,Yes,White,Male,33,0,1 feet to 3 feet,Female,Black,26,Large,5'4'' to 5'6'',No,Yes,Yes,,Resisting Lawful Arrest,No
FTN2020-0293,10/3/2020,FOB - Field Operations Bureau,1st District,1st District,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Hands,L1,Mentally unstable,Yes,,Male,,0,1 feet to 3 feet,Female,Black,26,Large,5'4'' to 5'6'',No,Yes,Yes,,Resisting Lawful Arrest,No
FTN2020-0293,10/3/2020,FOB - Field Operations Bureau,1st District,1st District,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,Mentally unstable,No,White,Male,29,0,1 feet to 3 feet,Female,Black,26,Large,5'4'' to 5'6'',No,Yes,Yes,,Resisting Lawful Arrest,No
FTN2016-0156,3/17/2016,FOB - Field Operations Bureau,6th District,A Platoon,Patrol,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,CEW Exhibited/Laser,L1,Mentally unstable,No,White,Male,39,0,1 feet to 3 feet,Female,Black,22,XLarge,5'4'' to 5'6'',Yes,Yes,No,,Other,Yes
FTN2016-0156,3/17/2016,FOB - Field Operations Bureau,6th District,A Platoon,Patrol,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Force (Escort Tech),L1,Mentally unstable,Yes,White,Male,39,0,1 feet to 3 feet,Female,Black,22,XLarge,5'4'' to 5'6'',Yes,Yes,No,,Other,Yes
FTN2016-0156,3/17/2016,FOB - Field Operations Bureau,6th District,A Platoon,Patrol,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,CEW Deployment,L2,Mentally unstable,No,Black,Male,38,0,1 feet to 3 feet,Female,Black,22,XLarge,5'4'' to 5'6'',Yes,Yes,No,,Other,Yes
FTN2016-0156,3/17/2016,FOB - Field Operations Bureau,6th District,A Platoon,Patrol,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Hands,L1,Mentally unstable,No,Black,Male,38,0,1 feet to 3 feet,Female,Black,22,XLarge,5'4'' to 5'6'',Yes,Yes,No,,Other,Yes
FTN2016-0156,3/17/2016,FOB - Field Operations Bureau,6th District,A Platoon,Patrol,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Hands,L1,Mentally unstable,No,White,Male,45,0,1 feet to 3 feet,Female,Black,22,XLarge,5'4'' to 5'6'',Yes,Yes,No,,Other,Yes
FTN2016-0163,3/21/2016,MSB - Management Service Bureau,Administrative Duties Services,Extended Sick,Patrol,,,Completed,Use Of Force Authorized,Other,Good,Clear Conditions,Hands,L1,None detected,Yes,Black,Male,40,0,0 feet to 1 feet,Male,Black,39,Medium,5'7'' to 5'9'',Yes,No,Yes,,Other,Yes
FTN2016-0163,3/21/2016,MSB - Management Service Bureau,Administrative Duties Services,Extended Sick,Patrol,,,Completed,Use Of Force Authorized,Other,Good,Clear Conditions,Hands,L1,None detected,Yes,Black,Male,40,0,0 feet to 1 feet,Male,Black,39,Medium,5'7'' to 5'9'',Yes,No,Yes,,Other,Yes
FTN2016-0169,3/26/2016,FOB - Field Operations Bureau,6th District,B Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Force (Take Down),L2,Alchohol,Yes,White,Male,43,0,1 feet to 3 feet,Male,Black,27,Small,5'4'' to 5'6'',No,Yes,Yes,,Resisting Lawful Arrest,No
FTN2016-0173,3/27/2016,FOB - Field Operations Bureau,7th District,Day Watch,,,,Completed,Use Of Force Authorized,Other,Good,Clear Conditions,Hands,L1,Alchohol,No,Black,Female,47,0,1 feet to 3 feet,Male,White,23,Small,5'10'' to 6'0'',Yes,Yes,Yes,,Resisting Lawful Arrest,No
FTN2016-0173,3/27/2016,FOB - Field Operations Bureau,7th District,Day Watch,,,,Completed,Use Of Force Authorized,Other,Good,Clear Conditions,CEW Deployment,L2,Alchohol,Yes,Black,Female,47,0,1 feet to 3 feet,Male,White,23,Small,5'10'' to 6'0'',Yes,Yes,Yes,,Resisting Lawful Arrest,No
FTN2016-0167,3/23/2016,FOB - Field Operations Bureau,6th District,Task Force,B,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,None detected,Yes,White,Male,32,0,11 feet to 14 feet,Male,Black,17,Medium,5'10'' to 6'0'',No,No,Yes,,Other,No
FTN2016-0167,3/23/2016,FOB - Field Operations Bureau,6th District,Task Force,B,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Force (Take Down),L2,None detected,Yes,White,Male,32,0,11 feet to 14 feet,Male,Black,17,Medium,5'10'' to 6'0'',No,No,Yes,,Other,No
